Tools,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,Frame,Time [sec],Face,State,Rz,Ry,Rx,Tx,Ty,Tz,Error,Markers
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472678,1477.118,1,OK,75.4888409,-47.2131144,137.159909,26.662,-85.782,-8.255,0.0813849,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472686,1477.143,1,OK,76.0867537,-46.9919282,136.4537213,27.208,-85.849,-7.504,0.094193,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472694,1477.168,1,OK,75.7794178,-47.0653169,136.7088938,27.449,-85.731,-6.978,0.1180215,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472702,1477.193,1,OK,75.4285618,-47.1702159,137.1240333,27.418,-85.696,-6.918,0.1163036,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472710,1477.218,1,OK,74.9093853,-47.4169146,137.7217014,27.43,-85.697,-6.836,0.1091437,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472718,1477.243,1,OK,74.8893988,-47.4205847,137.9514283,27.383,-85.643,-6.873,0.1163262,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472726,1477.268,1,OK,75.5844235,-47.0176471,137.5686942,26.494,-85.538,-8.223,0.1939087,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472734,1477.293,1,OK,75.6864828,-47.090525,137.5145023,26.629,-85.482,-7.994,0.1785906,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472742,1477.318,1,OK,75.7989364,-47.1891587,137.4820363,26.728,-85.444,-7.745,0.1616419,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472750,1477.343,1,OK,75.6660946,-47.1505681,137.6340246,26.883,-85.449,-7.604,0.1974432,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472758,1477.368,1,OK,75.4759692,-48.1226192,137.0956862,28.172,-86.229,-5.253,0.1445373,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472766,1477.393,1,OK,76.5843876,-48.1160515,136.1506016,28.436,-86.496,-4.756,0.1284713,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472774,1477.418,1,OK,76.6073579,-48.2239829,136.2271033,28.497,-86.52,-4.732,0.129352,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472782,1477.443,1,OK,76.6080736,-48.3246258,136.2573889,28.501,-86.519,-4.754,0.1323988,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472790,1477.468,1,OK,76.5220657,-48.4352651,136.2751377,28.538,-86.566,-4.708,0.1287834,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472798,1477.493,1,OK,76.7648444,-48.3004573,135.9500726,28.531,-86.55,-4.775,0.1329364,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472806,1477.518,1,OK,76.9461889,-48.1885225,135.6288321,28.555,-86.558,-4.82,0.1353147,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472814,1477.543,1,OK,76.9712683,-48.2027437,135.4472288,28.538,-86.644,-4.809,0.1342691,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472822,1477.568,1,OK,76.114131,-48.519622,136.0468217,28.748,-87.141,-5.171,0.1525859,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472830,1477.593,1,OK,76.2466828,-48.3506854,135.9348204,28.668,-87.39,-5.413,0.1306628,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472838,1477.618,1,OK,76.0642884,-48.0562975,136.0486758,28.556,-87.901,-5.88,0.1446141,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472846,1477.643,1,OK,75.7483843,-48.3899024,135.7590686,28.901,-88.663,-5.669,0.0914287,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472854,1477.668,1,OK,75.6100961,-48.2698151,135.6664918,28.549,-89.55,-5.963,0.0864834,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472862,1477.693,1,OK,75.6042895,-48.4135839,135.6605112,28.582,-89.804,-5.977,0.0975111,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472870,1477.718,1,OK,75.8858674,-48.4656026,135.3748433,28.612,-89.986,-6.122,0.0892001,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472878,1477.743,1,OK,75.8921755,-48.5362609,135.1654444,28.594,-90.286,-6.207,0.074261,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472886,1477.768,1,OK,76.2451572,-48.3960172,134.7184853,28.724,-90.488,-6.449,0.0642708,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472894,1477.793,1,OK,76.5825325,-48.3107126,134.3041623,28.722,-90.514,-6.458,0.0663729,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472902,1477.818,1,OK,76.8108534,-48.2327645,133.9255358,28.75,-90.758,-6.631,0.0602266,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472910,1477.843,1,OK,76.4158395,-48.3535841,133.6485127,28.743,-91.615,-6.588,0.0425307,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472918,1477.868,1,OK,76.5150866,-48.131823,133.2299244,28.717,-92.315,-6.896,0.0178321,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472926,1477.893,1,OK,76.8438068,-48.0482589,132.7562976,28.76,-92.6,-7.211,0.0136865,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472934,1477.918,1,OK,77.1087395,-47.9737523,132.4813537,28.653,-92.736,-7.398,0.0270677,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472942,1477.943,1,OK,76.8244747,-47.9152276,132.7296647,28.372,-93.051,-7.849,0.0255069,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472950,1477.968,1,OK,76.1587794,-48.0232249,133.0993433,28.152,-93.633,-8.541,0.0374939,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472958,1477.993,1,OK,76.0924549,-47.8270068,133.0275243,28.055,-93.98,-8.973,0.0478827,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472966,1478.018,1,OK,75.9769441,-48.0224146,132.8731709,27.968,-94.16,-9.089,0.0712494,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472974,1478.043,1,OK,76.1004952,-47.8818595,132.8406925,27.857,-94.128,-9.062,0.0207032,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472982,1478.068,1,OK,76.1337321,-48.0457791,132.7041095,28.375,-93.931,-8.2,0.0895148,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472990,1478.093,1,OK,76.164776,-48.0474113,132.577281,28.314,-93.983,-8.32,0.0828387,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,472998,1478.118,1,OK,76.1088223,-48.094694,132.4830532,28.289,-94.07,-8.406,0.0828642,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473006,1478.143,1,OK,75.998831,-48.13524,132.4276566,28.265,-94.181,-8.498,0.0827955,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473014,1478.168,1,OK,75.7607413,-46.6024595,133.4675467,26.847,-93.974,-9.161,0.2337891,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473022,1478.193,1,OK,72.8533284,-47.7002022,135.475394,26.042,-93.699,-12.009,0.0923899,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473030,1478.218,1,OK,73.0867472,-46.8578968,136.1177615,24.953,-93.524,-12.592,0.1360318,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473038,1478.243,1,OK,73.0994982,-46.8029242,135.8835467,24.933,-93.516,-12.614,0.1367981,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473046,1478.268,1,OK,73.1229993,-46.797695,135.597934,24.923,-93.527,-12.564,0.1342184,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473054,1478.293,1,OK,73.2017335,-46.7670723,135.3343188,24.83,-93.465,-12.717,0.122939,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473062,1478.318,1,OK,73.1961532,-46.7171366,135.3450463,24.662,-93.366,-12.813,0.1318688,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473070,1478.343,1,OK,73.3812401,-46.6139471,135.4414486,24.319,-93.261,-12.967,0.1580386,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473078,1478.368,1,OK,73.3340095,-46.7687898,135.6076427,24.126,-93.215,-13.108,0.1468859,0
1,Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0,473086,1478.393,1,OK,73.3607409,-47.1114523,135.8588309,23.662,-93.123,-13.789,0.0845113,0
